::ffff:192.168.2.104 - - [04/Dec/2016:10:26:09 +0000] "GET /api/users HTTP/1.1" 403 - "-" "PostmanRuntime/3.0.1"
::ffff:192.168.2.104 - - [04/Dec/2016:10:26:50 +0000] "GET /api/users HTTP/1.1" 403 - "-" "PostmanRuntime/3.0.1"
::ffff:192.168.2.104 - - [04/Dec/2016:10:26:51 +0000] "GET /api/users HTTP/1.1" 403 - "-" "PostmanRuntime/3.0.1"
::ffff:127.0.0.1 - 4 [04/Dec/2016:10:29:23 +0000] "POST /api/users HTTP/1.1" 200 78 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36"
::ffff:127.0.0.1 - 4 [04/Dec/2016:10:29:51 +0000] "POST /api/users HTTP/1.1" 403 - "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36"
::ffff:127.0.0.1 - 4 [04/Dec/2016:10:30:43 +0000] "POST /api/users HTTP/1.1" 403 - "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36"
::ffff:192.168.2.104 - - [04/Dec/2016:10:34:19 +0000] "GET /api/users HTTP/1.1" 500 2713 "-" "PostmanRuntime/3.0.1"
::ffff:192.168.2.104 - - [04/Dec/2016:10:34:59 +0000] "GET /api/users HTTP/1.1" 500 2713 "-" "PostmanRuntime/3.0.1"
::ffff:192.168.2.104 - - [04/Dec/2016:10:35:03 +0000] "GET /api/users HTTP/1.1" 500 2713 "-" "PostmanRuntime/3.0.1"
::ffff:192.168.2.104 - - [04/Dec/2016:10:35:19 +0000] "GET /api/users HTTP/1.1" 403 - "-" "PostmanRuntime/3.0.1"
::ffff:127.0.0.1 - 4 [04/Dec/2016:10:35:51 +0000] "POST /api/users HTTP/1.1" 403 - "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36"
::ffff:127.0.0.1 - 4 [04/Dec/2016:10:36:06 +0000] "POST /api/users HTTP/1.1" 200 78 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36"
::ffff:192.168.2.104 - - [04/Dec/2016:10:36:12 +0000] "GET /api/users HTTP/1.1" 403 - "-" "PostmanRuntime/3.0.1"
::ffff:127.0.0.1 - 4 [04/Dec/2016:10:36:27 +0000] "POST /api/users HTTP/1.1" 200 78 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36"
::1 - - [04/Dec/2016:16:52:48 +0000] "GET / HTTP/1.1" 200 2867 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.98 Safari/537.36"
